date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
2019-01-01,5.5,2023-01-21,2023-01-21,Alaska,LAUST020000000000003A,Unemployment Rate in Alaska,A,%,NSA
2020-01-01,8.2,2023-01-21,2023-01-21,Alaska,LAUST020000000000003A,Unemployment Rate in Alaska,A,%,NSA
2021-01-01,6.4,2023-01-21,2023-01-21,Alaska,LAUST020000000000003A,Unemployment Rate in Alaska,A,%,NSA
1976-01-01,6.7,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1977-01-01,7.1,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1978-01-01,6.4,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1979-01-01,7.2,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1980-01-01,8.8,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1981-01-01,10.7,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1982-01-01,14.0,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1983-01-01,13.8,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1984-01-01,11.3,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1985-01-01,9.6,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1986-01-01,9.6,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1987-01-01,8.2,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1988-01-01,7.3,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1989-01-01,7.0,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1990-01-01,6.8,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1991-01-01,7.3,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1992-01-01,7.5,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1993-01-01,7.2,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1994-01-01,6.2,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1995-01-01,5.9,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1996-01-01,5.2,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1997-01-01,4.9,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1998-01-01,4.5,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1999-01-01,4.7,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2000-01-01,4.6,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2001-01-01,5.2,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2002-01-01,5.9,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2003-01-01,6.0,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2004-01-01,5.6,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2005-01-01,4.4,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2006-01-01,4.0,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2007-01-01,4.1,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2008-01-01,5.8,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2009-01-01,10.1,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2010-01-01,10.4,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2011-01-01,9.6,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2012-01-01,8.2,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2013-01-01,7.3,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2014-01-01,6.7,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2015-01-01,6.1,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2016-01-01,5.9,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2017-01-01,4.5,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2018-01-01,3.9,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2019-01-01,3.2,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2020-01-01,6.5,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
2021-01-01,3.4,2023-01-21,2023-01-21,Alabama,LAUST010000000000003A,Unemployment Rate in Alabama,A,%,NSA
1976-01-01,6.9,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1977-01-01,6.5,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1978-01-01,6.2,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1979-01-01,6.3,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1980-01-01,7.5,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1981-01-01,8.6,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1982-01-01,9.5,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1983-01-01,9.7,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1984-01-01,8.5,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1985-01-01,8.5,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1986-01-01,8.5,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1987-01-01,8.1,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1988-01-01,7.7,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1989-01-01,7.1,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1990-01-01,6.8,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1991-01-01,7.3,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1992-01-01,7.0,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1993-01-01,6.1,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1994-01-01,5.4,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1995-01-01,4.9,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1996-01-01,5.2,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1997-01-01,5.1,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1998-01-01,5.1,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
1999-01-01,4.5,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2000-01-01,4.2,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2001-01-01,4.8,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2002-01-01,5.3,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2003-01-01,5.8,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2004-01-01,5.6,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2005-01-01,5.3,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2006-01-01,5.2,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2007-01-01,5.4,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
2008-01-01,5.4,2023-01-21,2023-01-21,Arkansas,LAUST050000000000003A,Unemployment Rate in Arkansas,A,%,NSA
